edge(s104t3word53,V2)	-edge(s104t3word53,s104t1word355)	+edge(s104t3word53,s104t2word682)	-edge(s104t3word53,s104t4word43)	-edge(s104t3word53,s104t5word683)	-edge(s104t3word53,s104t6word5)
edge(s104t4word43,V2)	-edge(s104t4word43,s104t1word355)	-edge(s104t4word43,s104t2word682)	-edge(s104t4word43,s104t3word53)	+edge(s104t4word43,s104t5word683)	-edge(s104t4word43,s104t6word5)	-edge(s104t4word43,s104t7word102)	-edge(s104t4word43,s104t8word62)	-edge(s104t4word43,s104t9word63)
edge(s161t3word92,V2)	+edge(s161t3word92,s161t0root)	-edge(s161t3word92,s161t1word17)	-edge(s161t3word92,s161t2word174)	-edge(s161t3word92,s161t4word899)
edge(s161t4word899,V2)	-edge(s161t4word899,s161t1word17)	-edge(s161t4word899,s161t2word174)	-edge(s161t4word899,s161t3word92)	+edge(s161t4word899,s161t5word5)	-edge(s161t4word899,s161t6word202)	-edge(s161t4word899,s161t7word10)	-edge(s161t4word899,s161t8word6)	-edge(s161t4word899,s161t9word10)
edge(s161t5word5,V2)	-edge(s161t5word5,s161t2word174)	-edge(s161t5word5,s161t3word92)	-edge(s161t5word5,s161t4word899)	+edge(s161t5word5,s161t6word202)	-edge(s161t5word5,s161t7word10)	-edge(s161t5word5,s161t8word6)	-edge(s161t5word5,s161t9word10)	-edge(s161t5word5,s161t10word899)
edge(s161t6word202,V2)	-edge(s161t6word202,s161t1word17)	-edge(s161t6word202,s161t2word174)	+edge(s161t6word202,s161t3word92)	-edge(s161t6word202,s161t4word899)	-edge(s161t6word202,s161t5word5)	-edge(s161t6word202,s161t7word10)
edge(s161t7word10,V2)	-edge(s161t7word10,s161t2word174)	-edge(s161t7word10,s161t3word92)	-edge(s161t7word10,s161t4word899)	-edge(s161t7word10,s161t5word5)	+edge(s161t7word10,s161t6word202)	-edge(s161t7word10,s161t8word6)	-edge(s161t7word10,s161t9word10)	-edge(s161t7word10,s161t10word899)
edge(s161t8word6,V2)	-edge(s161t8word6,s161t3word92)	-edge(s161t8word6,s161t4word899)	-edge(s161t8word6,s161t5word5)	-edge(s161t8word6,s161t6word202)	+edge(s161t8word6,s161t7word10)	-edge(s161t8word6,s161t9word10)	-edge(s161t8word6,s161t10word899)	-edge(s161t8word6,s161t11word900)
edge(s161t9word10,V2)	-edge(s161t9word10,s161t4word899)	-edge(s161t9word10,s161t5word5)	-edge(s161t9word10,s161t6word202)	-edge(s161t9word10,s161t7word10)	+edge(s161t9word10,s161t8word6)	-edge(s161t9word10,s161t10word899)	-edge(s161t9word10,s161t11word900)	-edge(s161t9word10,s161t12word10)
edge(s161t10word899,V2)	-edge(s161t10word899,s161t7word10)	-edge(s161t10word899,s161t8word6)	-edge(s161t10word899,s161t9word10)	+edge(s161t10word899,s161t11word900)	-edge(s161t10word899,s161t12word10)	-edge(s161t10word899,s161t13word542)	-edge(s161t10word899,s161t14word525)	-edge(s161t10word899,s161t15word220)
edge(s161t11word900,V2)	-edge(s161t11word900,s161t2word174)	-edge(s161t11word900,s161t3word92)	-edge(s161t11word900,s161t4word899)	-edge(s161t11word900,s161t5word5)	+edge(s161t11word900,s161t6word202)	-edge(s161t11word900,s161t7word10)	-edge(s161t11word900,s161t8word6)	-edge(s161t11word900,s161t9word10)	-edge(s161t11word900,s161t10word899)
edge(s161t12word10,V2)	-edge(s161t12word10,s161t7word10)	-edge(s161t12word10,s161t8word6)	-edge(s161t12word10,s161t9word10)	-edge(s161t12word10,s161t10word899)	+edge(s161t12word10,s161t11word900)	-edge(s161t12word10,s161t13word542)	-edge(s161t12word10,s161t14word525)	-edge(s161t12word10,s161t15word220)
edge(s161t13word542,V2)	-edge(s161t13word542,s161t7word10)	-edge(s161t13word542,s161t8word6)	-edge(s161t13word542,s161t9word10)	-edge(s161t13word542,s161t10word899)	+edge(s161t13word542,s161t11word900)	-edge(s161t13word542,s161t12word10)	-edge(s161t13word542,s161t14word525)	-edge(s161t13word542,s161t15word220)
edge(s161t14word525,V2)	-edge(s161t14word525,s161t11word900)	-edge(s161t14word525,s161t12word10)	-edge(s161t14word525,s161t13word542)	+edge(s161t14word525,s161t15word220)	-edge(s161t14word525,s161t16word901)	-edge(s161t14word525,s161t17word5)	-edge(s161t14word525,s161t18word902)	-edge(s161t14word525,s161t19word149)
edge(s161t15word220,V2)	-edge(s161t15word220,s161t12word10)	-edge(s161t15word220,s161t13word542)	-edge(s161t15word220,s161t14word525)	+edge(s161t15word220,s161t16word901)	-edge(s161t15word220,s161t17word5)	-edge(s161t15word220,s161t18word902)	-edge(s161t15word220,s161t19word149)	-edge(s161t15word220,s161t20word26)
edge(s161t16word901,V2)	-edge(s161t16word901,s161t13word542)	-edge(s161t16word901,s161t14word525)	-edge(s161t16word901,s161t15word220)	+edge(s161t16word901,s161t17word5)	-edge(s161t16word901,s161t18word902)	-edge(s161t16word901,s161t19word149)	-edge(s161t16word901,s161t20word26)	-edge(s161t16word901,s161t21word8)
edge(s161t17word5,V2)	-edge(s161t17word5,s161t14word525)	-edge(s161t17word5,s161t15word220)	-edge(s161t17word5,s161t16word901)	+edge(s161t17word5,s161t18word902)	-edge(s161t17word5,s161t19word149)	-edge(s161t17word5,s161t20word26)	-edge(s161t17word5,s161t21word8)	-edge(s161t17word5,s161t22word598)
edge(s161t18word902,V2)	-edge(s161t18word902,s161t9word10)	-edge(s161t18word902,s161t10word899)	-edge(s161t18word902,s161t11word900)	-edge(s161t18word902,s161t12word10)	+edge(s161t18word902,s161t13word542)	-edge(s161t18word902,s161t14word525)	-edge(s161t18word902,s161t15word220)	-edge(s161t18word902,s161t16word901)	-edge(s161t18word902,s161t17word5)
edge(s161t19word149,V2)	-edge(s161t19word149,s161t16word901)	-edge(s161t19word149,s161t17word5)	-edge(s161t19word149,s161t18word902)	+edge(s161t19word149,s161t20word26)	-edge(s161t19word149,s161t21word8)	-edge(s161t19word149,s161t22word598)	-edge(s161t19word149,s161t23word220)	-edge(s161t19word149,s161t24word903)
edge(s161t20word26,V2)	-edge(s161t20word26,s161t17word5)	-edge(s161t20word26,s161t18word902)	-edge(s161t20word26,s161t19word149)	+edge(s161t20word26,s161t21word8)	-edge(s161t20word26,s161t22word598)	-edge(s161t20word26,s161t23word220)	-edge(s161t20word26,s161t24word903)	-edge(s161t20word26,s161t25word5)
edge(s161t21word8,V2)	-edge(s161t21word8,s161t14word525)	-edge(s161t21word8,s161t15word220)	-edge(s161t21word8,s161t16word901)	-edge(s161t21word8,s161t17word5)	+edge(s161t21word8,s161t18word902)	-edge(s161t21word8,s161t19word149)	-edge(s161t21word8,s161t20word26)	-edge(s161t21word8,s161t22word598)
edge(s161t22word598,V2)	-edge(s161t22word598,s161t19word149)	-edge(s161t22word598,s161t20word26)	-edge(s161t22word598,s161t21word8)	+edge(s161t22word598,s161t23word220)	-edge(s161t22word598,s161t24word903)	-edge(s161t22word598,s161t25word5)	-edge(s161t22word598,s161t26word904)
edge(s161t23word220,V2)	-edge(s161t23word220,s161t20word26)	-edge(s161t23word220,s161t21word8)	-edge(s161t23word220,s161t22word598)	+edge(s161t23word220,s161t24word903)	-edge(s161t23word220,s161t25word5)	-edge(s161t23word220,s161t26word904)
edge(s161t24word903,V2)	-edge(s161t24word903,s161t21word8)	-edge(s161t24word903,s161t22word598)	-edge(s161t24word903,s161t23word220)	+edge(s161t24word903,s161t25word5)	-edge(s161t24word903,s161t26word904)
edge(s161t25word5,V2)	-edge(s161t25word5,s161t22word598)	-edge(s161t25word5,s161t23word220)	-edge(s161t25word5,s161t24word903)	+edge(s161t25word5,s161t26word904)
edge(s161t26word904,V2)	-edge(s161t26word904,s161t17word5)	-edge(s161t26word904,s161t18word902)	-edge(s161t26word904,s161t19word149)	-edge(s161t26word904,s161t20word26)	+edge(s161t26word904,s161t21word8)	-edge(s161t26word904,s161t22word598)	-edge(s161t26word904,s161t23word220)	-edge(s161t26word904,s161t24word903)	-edge(s161t26word904,s161t25word5)
edge(s162t1word690,V2)	+edge(s162t1word690,s162t0root)	-edge(s162t1word690,s162t2word29)	-edge(s162t1word690,s162t3word30)	-edge(s162t1word690,s162t4word905)
edge(s162t2word29,V2)	-edge(s162t2word29,s162t1word690)	+edge(s162t2word29,s162t3word30)	-edge(s162t2word29,s162t4word905)	-edge(s162t2word29,s162t5word130)	-edge(s162t2word29,s162t6word7)	-edge(s162t2word29,s162t7word906)
edge(s162t3word30,V2)	-edge(s162t3word30,s162t1word690)	-edge(s162t3word30,s162t2word29)	+edge(s162t3word30,s162t4word905)	-edge(s162t3word30,s162t5word130)	-edge(s162t3word30,s162t6word7)	-edge(s162t3word30,s162t7word906)	-edge(s162t3word30,s162t8word317)
edge(s162t4word905,V2)	+edge(s162t4word905,s162t1word690)	-edge(s162t4word905,s162t2word29)	-edge(s162t4word905,s162t3word30)	-edge(s162t4word905,s162t5word130)
edge(s162t5word130,V2)	-edge(s162t5word130,s162t2word29)	-edge(s162t5word130,s162t3word30)	-edge(s162t5word130,s162t4word905)	+edge(s162t5word130,s162t6word7)	-edge(s162t5word130,s162t7word906)	-edge(s162t5word130,s162t8word317)	-edge(s162t5word130,s162t9word43)	-edge(s162t5word130,s162t10word907)
edge(s162t6word7,V2)	-edge(s162t6word7,s162t3word30)	-edge(s162t6word7,s162t4word905)	-edge(s162t6word7,s162t5word130)	+edge(s162t6word7,s162t7word906)	-edge(s162t6word7,s162t8word317)	-edge(s162t6word7,s162t9word43)	-edge(s162t6word7,s162t10word907)	-edge(s162t6word7,s162t11word29)
edge(s162t7word906,V2)	-edge(s162t7word906,s162t4word905)	-edge(s162t7word906,s162t5word130)	-edge(s162t7word906,s162t6word7)	+edge(s162t7word906,s162t8word317)	-edge(s162t7word906,s162t9word43)	-edge(s162t7word906,s162t10word907)	-edge(s162t7word906,s162t11word29)	-edge(s162t7word906,s162t12word30)
edge(s162t8word317,V2)	-edge(s162t8word317,s162t1word690)	-edge(s162t8word317,s162t2word29)	-edge(s162t8word317,s162t3word30)	+edge(s162t8word317,s162t4word905)	-edge(s162t8word317,s162t5word130)	-edge(s162t8word317,s162t6word7)	-edge(s162t8word317,s162t7word906)
edge(s162t9word43,V2)	-edge(s162t9word43,s162t4word905)	-edge(s162t9word43,s162t5word130)	-edge(s162t9word43,s162t6word7)	-edge(s162t9word43,s162t7word906)	+edge(s162t9word43,s162t8word317)	-edge(s162t9word43,s162t10word907)	-edge(s162t9word43,s162t11word29)	-edge(s162t9word43,s162t12word30)
edge(s162t10word907,V2)	-edge(s162t10word907,s162t4word905)	-edge(s162t10word907,s162t5word130)	-edge(s162t10word907,s162t6word7)	-edge(s162t10word907,s162t7word906)	+edge(s162t10word907,s162t8word317)	-edge(s162t10word907,s162t9word43)	-edge(s162t10word907,s162t11word29)	-edge(s162t10word907,s162t12word30)
edge(s162t11word29,V2)	-edge(s162t11word29,s162t8word317)	-edge(s162t11word29,s162t9word43)	-edge(s162t11word29,s162t10word907)	+edge(s162t11word29,s162t12word30)	-edge(s162t11word29,s162t13word12)	-edge(s162t11word29,s162t14word908)	-edge(s162t11word29,s162t15word909)	-edge(s162t11word29,s162t16word128)
edge(s162t12word30,V2)	-edge(s162t12word30,s162t9word43)	-edge(s162t12word30,s162t10word907)	-edge(s162t12word30,s162t11word29)	+edge(s162t12word30,s162t13word12)	-edge(s162t12word30,s162t14word908)	-edge(s162t12word30,s162t15word909)	-edge(s162t12word30,s162t16word128)	-edge(s162t12word30,s162t17word99)
edge(s162t13word12,V2)	-edge(s162t13word12,s162t6word7)	-edge(s162t13word12,s162t7word906)	-edge(s162t13word12,s162t8word317)	-edge(s162t13word12,s162t9word43)	+edge(s162t13word12,s162t10word907)	-edge(s162t13word12,s162t11word29)	-edge(s162t13word12,s162t12word30)	-edge(s162t13word12,s162t14word908)
edge(s162t14word908,V2)	-edge(s162t14word908,s162t11word29)	-edge(s162t14word908,s162t12word30)	-edge(s162t14word908,s162t13word12)	+edge(s162t14word908,s162t15word909)	-edge(s162t14word908,s162t16word128)	-edge(s162t14word908,s162t17word99)	-edge(s162t14word908,s162t18word43)	-edge(s162t14word908,s162t19word910)
edge(s162t15word909,V2)	-edge(s162t15word909,s162t12word30)	-edge(s162t15word909,s162t13word12)	-edge(s162t15word909,s162t14word908)	+edge(s162t15word909,s162t16word128)	-edge(s162t15word909,s162t17word99)	-edge(s162t15word909,s162t18word43)	-edge(s162t15word909,s162t19word910)
edge(s162t16word128,V2)	-edge(s162t16word128,s162t13word12)	-edge(s162t16word128,s162t14word908)	-edge(s162t16word128,s162t15word909)	+edge(s162t16word128,s162t17word99)	-edge(s162t16word128,s162t18word43)	-edge(s162t16word128,s162t19word910)
edge(s162t17word99,V2)	-edge(s162t17word99,s162t6word7)	-edge(s162t17word99,s162t7word906)	-edge(s162t17word99,s162t8word317)	-edge(s162t17word99,s162t9word43)	+edge(s162t17word99,s162t10word907)	-edge(s162t17word99,s162t11word29)	-edge(s162t17word99,s162t12word30)	-edge(s162t17word99,s162t13word12)	-edge(s162t17word99,s162t14word908)
edge(s162t18word43,V2)	-edge(s162t18word43,s162t13word12)	-edge(s162t18word43,s162t14word908)	-edge(s162t18word43,s162t15word909)	-edge(s162t18word43,s162t16word128)	+edge(s162t18word43,s162t17word99)	-edge(s162t18word43,s162t19word910)
edge(s162t19word910,V2)	-edge(s162t19word910,s162t14word908)	-edge(s162t19word910,s162t15word909)	-edge(s162t19word910,s162t16word128)	-edge(s162t19word910,s162t17word99)	+edge(s162t19word910,s162t18word43)
edge(s163t1word102,V2)	+edge(s163t1word102,s163t2word29)	-edge(s163t1word102,s163t3word208)	-edge(s163t1word102,s163t4word174)	-edge(s163t1word102,s163t5word118)	-edge(s163t1word102,s163t6word43)
edge(s163t2word29,V2)	-edge(s163t2word29,s163t1word102)	+edge(s163t2word29,s163t3word208)	-edge(s163t2word29,s163t4word174)	-edge(s163t2word29,s163t5word118)	-edge(s163t2word29,s163t6word43)	-edge(s163t2word29,s163t7word911)
edge(s163t3word208,V2)	-edge(s163t3word208,s163t1word102)	-edge(s163t3word208,s163t2word29)	+edge(s163t3word208,s163t4word174)	-edge(s163t3word208,s163t5word118)	-edge(s163t3word208,s163t6word43)	-edge(s163t3word208,s163t7word911)	-edge(s163t3word208,s163t8word102)
edge(s163t4word174,V2)	-edge(s163t4word174,s163t1word102)	-edge(s163t4word174,s163t2word29)	-edge(s163t4word174,s163t3word208)	+edge(s163t4word174,s163t5word118)	-edge(s163t4word174,s163t6word43)	-edge(s163t4word174,s163t7word911)	-edge(s163t4word174,s163t8word102)	-edge(s163t4word174,s163t9word29)
edge(s163t5word118,V2)	+edge(s163t5word118,s163t0root)	-edge(s163t5word118,s163t1word102)	-edge(s163t5word118,s163t2word29)	-edge(s163t5word118,s163t3word208)	-edge(s163t5word118,s163t4word174)
edge(s163t6word43,V2)	-edge(s163t6word43,s163t1word102)	-edge(s163t6word43,s163t2word29)	-edge(s163t6word43,s163t3word208)	-edge(s163t6word43,s163t4word174)	+edge(s163t6word43,s163t5word118)	-edge(s163t6word43,s163t7word911)	-edge(s163t6word43,s163t8word102)	-edge(s163t6word43,s163t9word29)
edge(s163t7word911,V2)	-edge(s163t7word911,s163t2word29)	-edge(s163t7word911,s163t3word208)	-edge(s163t7word911,s163t4word174)	-edge(s163t7word911,s163t5word118)	+edge(s163t7word911,s163t6word43)	-edge(s163t7word911,s163t8word102)	-edge(s163t7word911,s163t9word29)	-edge(s163t7word911,s163t10word803)
edge(s163t8word102,V2)	-edge(s163t8word102,s163t5word118)	-edge(s163t8word102,s163t6word43)	-edge(s163t8word102,s163t7word911)	+edge(s163t8word102,s163t9word29)	-edge(s163t8word102,s163t10word803)	-edge(s163t8word102,s163t11word174)	-edge(s163t8word102,s163t12word606)	-edge(s163t8word102,s163t13word43)
edge(s163t9word29,V2)	-edge(s163t9word29,s163t6word43)	-edge(s163t9word29,s163t7word911)	-edge(s163t9word29,s163t8word102)	+edge(s163t9word29,s163t10word803)	-edge(s163t9word29,s163t11word174)	-edge(s163t9word29,s163t12word606)	-edge(s163t9word29,s163t13word43)	-edge(s163t9word29,s163t14word912)
edge(s163t10word803,V2)	-edge(s163t10word803,s163t7word911)	-edge(s163t10word803,s163t8word102)	-edge(s163t10word803,s163t9word29)	+edge(s163t10word803,s163t11word174)	-edge(s163t10word803,s163t12word606)	-edge(s163t10word803,s163t13word43)	-edge(s163t10word803,s163t14word912)	-edge(s163t10word803,s163t15word102)
edge(s163t11word174,V2)	-edge(s163t11word174,s163t8word102)	-edge(s163t11word174,s163t9word29)	-edge(s163t11word174,s163t10word803)	+edge(s163t11word174,s163t12word606)	-edge(s163t11word174,s163t13word43)	-edge(s163t11word174,s163t14word912)	-edge(s163t11word174,s163t15word102)	-edge(s163t11word174,s163t16word29)
edge(s163t12word606,V2)	-edge(s163t12word606,s163t3word208)	-edge(s163t12word606,s163t4word174)	-edge(s163t12word606,s163t5word118)	-edge(s163t12word606,s163t6word43)	+edge(s163t12word606,s163t7word911)	-edge(s163t12word606,s163t8word102)	-edge(s163t12word606,s163t9word29)	-edge(s163t12word606,s163t10word803)	-edge(s163t12word606,s163t11word174)
edge(s163t13word43,V2)	-edge(s163t13word43,s163t8word102)	-edge(s163t13word43,s163t9word29)	-edge(s163t13word43,s163t10word803)	-edge(s163t13word43,s163t11word174)	+edge(s163t13word43,s163t12word606)	-edge(s163t13word43,s163t14word912)	-edge(s163t13word43,s163t15word102)	-edge(s163t13word43,s163t16word29)
edge(s163t14word912,V2)	-edge(s163t14word912,s163t9word29)	-edge(s163t14word912,s163t10word803)	-edge(s163t14word912,s163t11word174)	-edge(s163t14word912,s163t12word606)	+edge(s163t14word912,s163t13word43)	-edge(s163t14word912,s163t15word102)	-edge(s163t14word912,s163t16word29)	-edge(s163t14word912,s163t17word913)
edge(s163t15word102,V2)	-edge(s163t15word102,s163t12word606)	-edge(s163t15word102,s163t13word43)	-edge(s163t15word102,s163t14word912)	+edge(s163t15word102,s163t16word29)	-edge(s163t15word102,s163t17word913)	-edge(s163t15word102,s163t18word174)	-edge(s163t15word102,s163t19word118)	-edge(s163t15word102,s163t20word43)
edge(s163t16word29,V2)	-edge(s163t16word29,s163t13word43)	-edge(s163t16word29,s163t14word912)	-edge(s163t16word29,s163t15word102)	+edge(s163t16word29,s163t17word913)	-edge(s163t16word29,s163t18word174)	-edge(s163t16word29,s163t19word118)	-edge(s163t16word29,s163t20word43)	-edge(s163t16word29,s163t21word20)
edge(s163t17word913,V2)	-edge(s163t17word913,s163t14word912)	-edge(s163t17word913,s163t15word102)	-edge(s163t17word913,s163t16word29)	+edge(s163t17word913,s163t18word174)	-edge(s163t17word913,s163t19word118)	-edge(s163t17word913,s163t20word43)	-edge(s163t17word913,s163t21word20)	-edge(s163t17word913,s163t22word914)
edge(s163t18word174,V2)	-edge(s163t18word174,s163t15word102)	-edge(s163t18word174,s163t16word29)	-edge(s163t18word174,s163t17word913)	+edge(s163t18word174,s163t19word118)	-edge(s163t18word174,s163t20word43)	-edge(s163t18word174,s163t21word20)	-edge(s163t18word174,s163t22word914)	-edge(s163t18word174,s163t23word5)
edge(s163t19word118,V2)	-edge(s163t19word118,s163t8word102)	-edge(s163t19word118,s163t9word29)	-edge(s163t19word118,s163t10word803)	-edge(s163t19word118,s163t11word174)	+edge(s163t19word118,s163t12word606)	-edge(s163t19word118,s163t13word43)	-edge(s163t19word118,s163t14word912)	-edge(s163t19word118,s163t15word102)	-edge(s163t19word118,s163t16word29)
edge(s163t20word43,V2)	-edge(s163t20word43,s163t15word102)	-edge(s163t20word43,s163t16word29)	-edge(s163t20word43,s163t17word913)	-edge(s163t20word43,s163t18word174)	+edge(s163t20word43,s163t19word118)	-edge(s163t20word43,s163t21word20)	-edge(s163t20word43,s163t22word914)	-edge(s163t20word43,s163t23word5)
edge(s163t21word20,V2)	-edge(s163t21word20,s163t16word29)	-edge(s163t21word20,s163t17word913)	-edge(s163t21word20,s163t18word174)	-edge(s163t21word20,s163t19word118)	+edge(s163t21word20,s163t20word43)	-edge(s163t21word20,s163t22word914)	-edge(s163t21word20,s163t23word5)	-edge(s163t21word20,s163t24word647)
edge(s163t22word914,V2)	-edge(s163t22word914,s163t19word118)	-edge(s163t22word914,s163t20word43)	-edge(s163t22word914,s163t21word20)	+edge(s163t22word914,s163t23word5)	-edge(s163t22word914,s163t24word647)	-edge(s163t22word914,s163t25word915)	-edge(s163t22word914,s163t26word536)
edge(s163t23word5,V2)	-edge(s163t23word5,s163t20word43)	-edge(s163t23word5,s163t21word20)	-edge(s163t23word5,s163t22word914)	+edge(s163t23word5,s163t24word647)	-edge(s163t23word5,s163t25word915)	-edge(s163t23word5,s163t26word536)
edge(s163t24word647,V2)	-edge(s163t24word647,s163t21word20)	-edge(s163t24word647,s163t22word914)	-edge(s163t24word647,s163t23word5)	+edge(s163t24word647,s163t25word915)	-edge(s163t24word647,s163t26word536)
edge(s163t25word915,V2)	-edge(s163t25word915,s163t22word914)	-edge(s163t25word915,s163t23word5)	-edge(s163t25word915,s163t24word647)	+edge(s163t25word915,s163t26word536)
edge(s163t26word536,V2)	-edge(s163t26word536,s163t15word102)	-edge(s163t26word536,s163t16word29)	-edge(s163t26word536,s163t17word913)	-edge(s163t26word536,s163t18word174)	+edge(s163t26word536,s163t19word118)	-edge(s163t26word536,s163t20word43)	-edge(s163t26word536,s163t21word20)	-edge(s163t26word536,s163t22word914)	-edge(s163t26word536,s163t23word5)
edge(s164t1word202,V2)	-edge(s164t1word202,s164t7word401)	-edge(s164t1word202,s164t8word29)	-edge(s164t1word202,s164t9word30)	-edge(s164t1word202,s164t10word916)	+edge(s164t1word202,s164t11word5)	-edge(s164t1word202,s164t12word65)	-edge(s164t1word202,s164t13word917)	-edge(s164t1word202,s164t14word918)
edge(s164t2word29,V2)	-edge(s164t2word29,s164t1word202)	+edge(s164t2word29,s164t3word380)	-edge(s164t2word29,s164t4word26)	-edge(s164t2word29,s164t5word348)	-edge(s164t2word29,s164t6word5)	-edge(s164t2word29,s164t7word401)
edge(s164t3word380,V2)	-edge(s164t3word380,s164t1word202)	-edge(s164t3word380,s164t2word29)	+edge(s164t3word380,s164t4word26)	-edge(s164t3word380,s164t5word348)	-edge(s164t3word380,s164t6word5)	-edge(s164t3word380,s164t7word401)	-edge(s164t3word380,s164t8word29)
edge(s164t4word26,V2)	-edge(s164t4word26,s164t1word202)	-edge(s164t4word26,s164t2word29)	-edge(s164t4word26,s164t3word380)	+edge(s164t4word26,s164t5word348)	-edge(s164t4word26,s164t6word5)	-edge(s164t4word26,s164t7word401)	-edge(s164t4word26,s164t8word29)	-edge(s164t4word26,s164t9word30)
edge(s164t5word348,V2)	-edge(s164t5word348,s164t2word29)	-edge(s164t5word348,s164t3word380)	-edge(s164t5word348,s164t4word26)	+edge(s164t5word348,s164t6word5)	-edge(s164t5word348,s164t7word401)	-edge(s164t5word348,s164t8word29)	-edge(s164t5word348,s164t9word30)	-edge(s164t5word348,s164t10word916)
edge(s164t6word5,V2)	-edge(s164t6word5,s164t3word380)	-edge(s164t6word5,s164t4word26)	-edge(s164t6word5,s164t5word348)	+edge(s164t6word5,s164t7word401)	-edge(s164t6word5,s164t8word29)	-edge(s164t6word5,s164t9word30)	-edge(s164t6word5,s164t10word916)	-edge(s164t6word5,s164t11word5)
edge(s164t7word401,V2)	+edge(s164t7word401,s164t1word202)	-edge(s164t7word401,s164t2word29)	-edge(s164t7word401,s164t3word380)	-edge(s164t7word401,s164t4word26)	-edge(s164t7word401,s164t5word348)
edge(s164t8word29,V2)	-edge(s164t8word29,s164t5word348)	-edge(s164t8word29,s164t6word5)	-edge(s164t8word29,s164t7word401)	+edge(s164t8word29,s164t9word30)	-edge(s164t8word29,s164t10word916)	-edge(s164t8word29,s164t11word5)	-edge(s164t8word29,s164t12word65)	-edge(s164t8word29,s164t13word917)
edge(s164t9word30,V2)	-edge(s164t9word30,s164t6word5)	-edge(s164t9word30,s164t7word401)	-edge(s164t9word30,s164t8word29)	+edge(s164t9word30,s164t10word916)	-edge(s164t9word30,s164t11word5)	-edge(s164t9word30,s164t12word65)	-edge(s164t9word30,s164t13word917)	-edge(s164t9word30,s164t14word918)
edge(s164t10word916,V2)	-edge(s164t10word916,s164t7word401)	-edge(s164t10word916,s164t8word29)	-edge(s164t10word916,s164t9word30)	+edge(s164t10word916,s164t11word5)	-edge(s164t10word916,s164t12word65)	-edge(s164t10word916,s164t13word917)	-edge(s164t10word916,s164t14word918)
edge(s164t11word5,V2)	-edge(s164t11word5,s164t8word29)	-edge(s164t11word5,s164t9word30)	-edge(s164t11word5,s164t10word916)	+edge(s164t11word5,s164t12word65)	-edge(s164t11word5,s164t13word917)	-edge(s164t11word5,s164t14word918)
edge(s164t12word65,V2)	-edge(s164t12word65,s164t9word30)	-edge(s164t12word65,s164t10word916)	-edge(s164t12word65,s164t11word5)	+edge(s164t12word65,s164t13word917)	-edge(s164t12word65,s164t14word918)
edge(s164t13word917,V2)	+edge(s164t13word917,s164t0root)	-edge(s164t13word917,s164t1word202)	-edge(s164t13word917,s164t2word29)	-edge(s164t13word917,s164t3word380)	-edge(s164t13word917,s164t4word26)
edge(s164t14word918,V2)	-edge(s164t14word918,s164t9word30)	-edge(s164t14word918,s164t10word916)	-edge(s164t14word918,s164t11word5)	-edge(s164t14word918,s164t12word65)	+edge(s164t14word918,s164t13word917)
edge(s165t1word919,V2)	+edge(s165t1word919,s165t2word920)	-edge(s165t1word919,s165t3word5)	-edge(s165t1word919,s165t4word921)	-edge(s165t1word919,s165t5word7)	-edge(s165t1word919,s165t6word306)
edge(s165t2word920,V2)	-edge(s165t2word920,s165t1word919)	+edge(s165t2word920,s165t3word5)	-edge(s165t2word920,s165t4word921)	-edge(s165t2word920,s165t5word7)	-edge(s165t2word920,s165t6word306)	-edge(s165t2word920,s165t7word922)
edge(s165t3word5,V2)	-edge(s165t3word5,s165t1word919)	-edge(s165t3word5,s165t2word920)	+edge(s165t3word5,s165t4word921)	-edge(s165t3word5,s165t5word7)	-edge(s165t3word5,s165t6word306)	-edge(s165t3word5,s165t7word922)	-edge(s165t3word5,s165t8word923)
edge(s165t4word921,V2)	-edge(s165t4word921,s165t1word919)	-edge(s165t4word921,s165t2word920)	-edge(s165t4word921,s165t3word5)	+edge(s165t4word921,s165t5word7)	-edge(s165t4word921,s165t6word306)	-edge(s165t4word921,s165t7word922)	-edge(s165t4word921,s165t8word923)	-edge(s165t4word921,s165t9word739)
edge(s165t5word7,V2)	-edge(s165t5word7,s165t2word920)	-edge(s165t5word7,s165t3word5)	-edge(s165t5word7,s165t4word921)	+edge(s165t5word7,s165t6word306)	-edge(s165t5word7,s165t7word922)	-edge(s165t5word7,s165t8word923)	-edge(s165t5word7,s165t9word739)	-edge(s165t5word7,s165t10word5)
edge(s165t6word306,V2)	+edge(s165t6word306,s165t0root)	-edge(s165t6word306,s165t1word919)	-edge(s165t6word306,s165t2word920)	-edge(s165t6word306,s165t3word5)	-edge(s165t6word306,s165t4word921)
edge(s165t7word922,V2)	-edge(s165t7word922,s165t4word921)	-edge(s165t7word922,s165t5word7)	-edge(s165t7word922,s165t6word306)	+edge(s165t7word922,s165t8word923)	-edge(s165t7word922,s165t9word739)	-edge(s165t7word922,s165t10word5)	-edge(s165t7word922,s165t11word924)	-edge(s165t7word922,s165t12word925)
edge(s165t8word923,V2)	-edge(s165t8word923,s165t5word7)	-edge(s165t8word923,s165t6word306)	-edge(s165t8word923,s165t7word922)	+edge(s165t8word923,s165t9word739)	-edge(s165t8word923,s165t10word5)	-edge(s165t8word923,s165t11word924)	-edge(s165t8word923,s165t12word925)	-edge(s165t8word923,s165t13word256)
